ds,yhat
2022-02-28,0.0132
2022-03-01,0.0132
2022-03-02,0.0132
2022-03-03,0.0132
2022-03-04,0.0131
2022-03-07,0.013
2022-03-08,0.013
2022-03-09,0.0131
2022-03-10,0.0131
2022-03-11,0.013
2022-03-14,0.013
2022-03-15,0.0134
2022-03-16,0.0134
2022-03-17,0.0134
2022-03-18,0.0134
2022-03-19,0.0135
2022-03-20,0.0135
2022-03-21,0.0134
2022-03-22,0.0134
2022-03-23,0.0135
2022-03-24,0.0135
