ds,yhat
2022-02-28,75.499
2022-03-01,75.772
2022-03-02,75.621
2022-03-03,75.943
2022-03-04,76.36
2022-03-07,76.92
2022-03-08,76.86
2022-03-09,76.355
2022-03-10,76.297
2022-03-11,76.71
2022-03-14,76.635
2022-03-15,74.6758
2022-03-16,74.6122
2022-03-17,74.574
2022-03-18,74.5269
2022-03-19,74.1978
2022-03-20,74.1631
2022-03-21,74.4514
2022-03-22,74.423
2022-03-23,74.3779
2022-03-24,74.3621
