ds,yhat
2022-08-05,0.1472
2022-08-08,0.1463
2022-08-09,0.147
2022-08-10,0.1478
2022-08-11,0.1472
2022-08-12,0.1462
2022-08-15,0.1461
2022-08-16,0.1467
2022-08-17,0.1481
2022-08-18,0.148
2022-08-19,0.1478
2022-08-20,0.1537
2022-08-21,0.1538
2022-08-22,0.1514
2022-08-23,0.1515
2022-08-24,0.1517
2022-08-25,0.1519
2022-08-26,0.1519
2022-08-27,0.1546
2022-08-28,0.1548
2022-08-29,0.1523
