ds,yhat
2022-03-08,1.0899
2022-03-09,1.1075
2022-03-10,1.0985
2022-03-11,1.091
2022-03-14,1.0942
2022-03-15,1.0949
2022-03-16,1.1031
2022-03-17,1.1089
2022-03-18,1.105
2022-03-21,1.1018
2022-03-22,1.0991
2022-03-23,1.1665
2022-03-24,1.1667
2022-03-25,1.1665
2022-03-26,1.1535
2022-03-27,1.1535
2022-03-28,1.1662
2022-03-29,1.1662
2022-03-30,1.1664
2022-03-31,1.1664
2022-04-01,1.1661
