ds,yhat
2022-08-05,0.102
2022-08-08,0.1025
2022-08-09,0.1027
2022-08-10,0.1049
2022-08-11,0.1049
2022-08-12,0.1044
2022-08-15,0.1029
2022-08-16,0.1028
2022-08-17,0.103
2022-08-18,0.1023
2022-08-19,0.1019
2022-08-20,0.1096
2022-08-21,0.1096
2022-08-22,0.1051
2022-08-23,0.1051
2022-08-24,0.1053
2022-08-25,0.1053
2022-08-26,0.1053
2022-08-27,0.1099
2022-08-28,0.1099
2022-08-29,0.1054
